Time,CPU Usage
21시 32분 24초,0.5
21시 32분 25초,0.0
21시 32분 26초,0.25
21시 32분 27초,0.75
21시 32분 28초,0.0
21시 32분 29초,0.25
21시 32분 30초,0.0
21시 32분 31초,0.5
21시 32분 32초,0.5
21시 32분 33초,0.0
21시 32분 34초,0.5
21시 32분 35초,0.0
21시 32분 36초,0.25
21시 32분 37초,0.75
21시 32분 38초,0.0
21시 32분 39초,0.25
21시 32분 40초,0.5
21시 32분 41초,0.0
21시 32분 42초,0.25
21시 32분 43초,0.0
21시 32분 44초,1.5
21시 32분 45초,0.0
21시 32분 46초,0.0
21시 32분 47초,0.5
21시 32분 48초,0.0
21시 32분 49초,0.0
21시 32분 50초,0.25
21시 32분 51초,0.25
21시 32분 52초,0.0
21시 32분 53초,0.25
21시 32분 54초,0.25
21시 32분 55초,0.0
21시 32분 56초,0.0
21시 32분 57초,0.25
21시 32분 58초,0.0
21시 32분 59초,0.0
21시 33분 00초,0.25
21시 33분 01초,0.0
21시 33분 02초,0.25
21시 33분 03초,0.0
21시 33분 04초,0.0
21시 33분 05초,0.0
21시 33분 06초,0.75
21시 27분 29초,0.25
21시 27분 30초,0.0
21시 27분 31초,0.0
21시 27분 32초,1.0
21시 27분 33초,1.0
21시 27분 34초,0.25
21시 27분 35초,0.0
21시 27분 36초,0.25
21시 27분 37초,0.25
21시 27분 38초,0.0
21시 27분 39초,0.25
21시 27분 40초,0.0
21시 27분 41초,0.25
21시 27분 42초,0.0
21시 27분 43초,1.0
21시 27분 44초,0.25
21시 27분 45초,0.25
21시 27분 46초,0.25
21시 27분 47초,0.5
21시 27분 48초,0.25
21시 27분 49초,0.75
21시 27분 50초,0.5
21시 27분 51초,0.0
21시 27분 52초,0.75
21시 27분 53초,0.5
21시 27분 54초,0.25
21시 27분 55초,0.5
21시 27분 56초,0.0
21시 27분 57초,0.25
21시 27분 58초,0.25
21시 27분 59초,0.25
21시 28분 00초,0.25
21시 28분 01초,0.25
21시 28분 02초,0.0
21시 28분 03초,0.25
21시 28분 04초,0.25
21시 28분 05초,0.25
21시 28분 06초,0.25
21시 28분 07초,0.0
21시 28분 08초,0.25
21시 28분 09초,0.25
21시 28분 10초,0.75
21시 28분 11초,0.5
21시 28분 12초,0.0
21시 28분 13초,0.0
21시 28분 14초,0.25
21시 28분 15초,2.760000000000005
21시 28분 16초,0.25
21시 28분 17초,0.25
21시 28분 18초,0.5
21시 28분 19초,0.5
21시 28분 20초,0.0
21시 28분 21초,0.25
21시 28분 22초,0.25
21시 28분 23초,0.0
21시 28분 24초,0.25
21시 28분 25초,0.0
21시 28분 26초,0.0
21시 28분 27초,0.0
21시 28분 28초,0.0
21시 28분 34초,0.5
21시 28분 35초,0.0
21시 28분 36초,0.25
21시 28분 37초,0.5
21시 28분 38초,0.25
21시 28분 39초,0.5
21시 28분 40초,0.5
21시 28분 41초,0.0
21시 28분 42초,0.0
21시 28분 43초,0.25
21시 28분 44초,0.5
21시 28분 45초,0.25
21시 28분 46초,0.5
21시 28분 47초,0.5
21시 28분 48초,0.25
21시 28분 49초,0.5
21시 28분 50초,0.25
21시 28분 51초,0.25
21시 28분 52초,1.0
21시 28분 53초,0.25
21시 28분 54초,0.75
21시 28분 55초,0.25
21시 28분 56초,0.0
21시 28분 57초,0.0
21시 28분 58초,0.75
21시 28분 59초,0.5
21시 29분 00초,0.25
21시 29분 01초,0.25
21시 29분 02초,0.25
21시 29분 03초,0.25
21시 29분 04초,0.0
21시 29분 05초,0.25
21시 29분 06초,0.0
21시 29분 07초,0.0
21시 29분 08초,0.5
21시 29분 09초,0.25
21시 29분 10초,0.75
21시 29분 11초,0.25
21시 29분 12초,0.5
21시 29분 13초,0.0
21시 29분 14초,0.25
21시 29분 15초,0.0
21시 29분 16초,0.5
21시 29분 17초,0.25
21시 29분 18초,0.0
21시 29분 19초,3.239999999999995
21시 29분 20초,0.5100000000000051
21시 29분 21초,0.0
21시 29분 22초,2.510000000000005
21시 29분 23초,0.0
21시 29분 24초,0.0
21시 29분 25초,0.0
21시 29분 26초,0.0
21시 29분 27초,0.0
21시 29분 28초,0.25
21시 29분 29초,0.0
21시 29분 30초,0.25
21시 29분 31초,0.0
21시 29분 32초,1.0
21시 29분 33초,0.25
21시 30분 58초,0.25
21시 30분 59초,0.0
21시 31분 00초,0.75
21시 31분 01초,0.25
21시 31분 02초,0.25
21시 31분 03초,1.0
21시 31분 04초,0.5
21시 31분 05초,0.25
21시 31분 06초,0.25
21시 31분 07초,0.5
21시 31분 08초,0.25
21시 31분 09초,0.25
21시 31분 10초,0.5
21시 31분 11초,0.25
21시 31분 12초,0.0
21시 31분 13초,0.25
21시 31분 14초,0.25
21시 31분 15초,0.5
21시 31분 16초,0.25
21시 31분 17초,0.5
21시 31분 18초,0.0
21시 31분 19초,0.0
21시 31분 20초,0.5
21시 31분 21초,0.25
21시 31분 22초,0.75
21시 31분 23초,0.75
21시 31분 24초,0.5
21시 31분 25초,0.5
21시 31분 26초,0.25
21시 31분 27초,0.0
21시 31분 28초,0.25
21시 31분 29초,0.25
21시 31분 30초,0.75
21시 31분 31초,0.25
21시 31분 32초,1.0
21시 31분 33초,0.0
21시 31분 34초,0.0
21시 31분 35초,0.5
21시 31분 36초,0.75
21시 31분 37초,0.25
21시 31분 38초,0.5
21시 31분 39초,0.0
21시 31분 40초,0.25
21시 31분 41초,0.25
21시 31분 42초,0.0
21시 31분 43초,0.0
21시 31분 44초,0.0
21시 31분 45초,0.5
21시 31분 46초,0.75
21시 31분 47초,0.0
21시 31분 48초,0.0
21시 31분 49초,0.0
21시 31분 50초,0.25
21시 31분 51초,0.0
21시 31분 52초,0.0
21시 31분 53초,0.0
21시 31분 54초,1.0
21시 31분 55초,0.25
21시 31분 56초,0.25
21시 31분 57초,0.0
21시 29분 53초,1.75
21시 29분 54초,0.25
21시 29분 55초,0.25
21시 29분 56초,0.25
21시 29분 57초,0.25
21시 29분 58초,0.75
21시 29분 59초,1.0100000000000051
21시 30분 00초,0.25
21시 30분 01초,0.0
21시 30분 02초,0.0
21시 30분 03초,0.0
21시 30분 04초,0.5
21시 30분 05초,0.5
21시 30분 06초,0.0
21시 30분 07초,0.0
21시 30분 08초,0.0
21시 30분 09초,1.0
21시 30분 10초,0.0
21시 30분 11초,0.25
21시 30분 12초,0.25
21시 30분 13초,0.0
21시 30분 14초,0.5
21시 30분 15초,1.25
21시 30분 16초,0.0
21시 30분 17초,0.25
21시 30분 18초,0.25
21시 30분 19초,0.75
21시 30분 20초,0.25
21시 30분 21초,0.25
21시 30분 22초,0.25
21시 30분 23초,1.0
21시 30분 24초,0.25
21시 30분 25초,0.0
21시 30분 26초,0.75
21시 30분 27초,0.25
21시 30분 28초,0.25
21시 30분 29초,0.75
21시 30분 30초,0.5
21시 30분 31초,0.25
21시 30분 32초,0.0
21시 30분 33초,0.25
21시 30분 34초,1.0
21시 30분 35초,0.0
21시 30분 36초,0.25
21시 30분 37초,0.25
21시 30분 38초,0.0
21시 30분 39초,0.75
21시 30분 40초,0.0
21시 30분 41초,0.25
21시 30분 42초,0.25
21시 30분 43초,0.0
21시 30분 44초,0.25
21시 30분 45초,0.0
21시 30분 46초,0.0
21시 30분 47초,0.0
21시 30분 48초,0.0
21시 30분 49초,0.5
21시 30분 50초,0.0
21시 30분 51초,0.0
21시 30분 52초,0.0
