Time,CPU Usage
12시 47분 15초,0.25
12시 47분 16초,0.0
12시 47분 17초,17.590000000000003
12시 47분 18초,33.17
12시 47분 19초,25.189999999999998
12시 47분 20초,26.930000000000007
12시 47분 21초,20.909999999999997
12시 47분 22초,0.25
12시 47분 23초,0.25
12시 47분 24초,0.0
12시 47분 25초,0.25
12시 47분 26초,0.0
12시 47분 27초,0.5
12시 47분 28초,0.5
12시 47분 29초,0.75
12시 47분 30초,0.5
12시 47분 31초,0.0
12시 45분 15초,1.0
12시 45분 16초,1.5
12시 45분 17초,6.569999999999993
12시 45분 18초,4.030000000000001
12시 45분 19초,0.5
12시 45분 20초,0.25
12시 45분 21초,0.0
12시 45분 22초,0.75
12시 45분 23초,0.0
12시 45분 24초,0.25
12시 45분 25초,2.019999999999996
12시 45분 26초,0.25
12시 45분 27초,0.25
12시 45분 28초,0.25
12시 45분 29초,0.0
12시 45분 30초,0.5
12시 45분 31초,0.25
12시 45분 32초,0.75
12시 45분 33초,0.0
12시 45분 34초,0.0
12시 45분 35초,0.5
12시 45분 36초,0.9899999999999949
12시 45분 37초,0.5
12시 45분 38초,0.25
12시 45분 39초,0.5
12시 45분 40초,0.25
12시 45분 41초,0.0
12시 45분 42초,0.5
12시 45분 43초,0.25
12시 45분 44초,0.0
12시 45분 45초,0.75
12시 45분 46초,0.75
12시 45분 47초,1.0
12시 45분 48초,0.25
12시 45분 49초,0.75
12시 45분 50초,0.5
12시 45분 51초,0.5
12시 45분 52초,0.0
12시 45분 53초,0.25
12시 45분 54초,0.75
12시 45분 55초,0.5100000000000051
12시 45분 56초,0.0
12시 45분 57초,0.0
12시 45분 58초,0.0
12시 45분 59초,0.0
12시 46분 00초,36.59
12시 46분 01초,25.379999999999995
12시 46분 02초,25.25
12시 46분 03초,27.14
12시 46분 04초,8.540000000000006
12시 46분 05초,0.5
12시 46분 06초,0.25
12시 46분 07초,0.5
12시 46분 08초,0.0
12시 46분 09초,0.25
12시 46분 10초,1.0100000000000051
12시 46분 11초,0.0
12시 46분 12초,0.25
12시 46분 13초,0.0
12시 46분 14초,0.0
12시 38분 33초,1.0100000000000051
12시 38분 34초,9.549999999999997
12시 38분 35초,1.75
12시 38분 36초,0.0
12시 38분 37초,0.0
12시 38분 38초,0.25
12시 38분 39초,0.25
12시 38분 40초,1.0100000000000051
12시 38분 41초,0.25
12시 38분 42초,0.0
12시 38분 43초,2.760000000000005
12시 38분 44초,0.5
12시 38분 45초,0.5
12시 38분 46초,0.25
12시 38분 47초,0.5
12시 38분 48초,0.5
12시 38분 49초,0.0
12시 38분 50초,0.5
12시 38분 51초,0.5
12시 38분 52초,1.0
12시 38분 53초,0.5
12시 38분 54초,0.25
12시 38분 55초,0.75
12시 38분 56초,0.25
12시 38분 57초,0.5100000000000051
12시 38분 58초,2.519999999999996
12시 38분 59초,0.75
12시 39분 00초,1.75
12시 39분 01초,0.25
12시 39분 02초,0.5
12시 39분 03초,0.25
12시 39분 04초,0.5
12시 39분 05초,0.0
12시 39분 06초,0.0
12시 39분 07초,0.75
12시 39분 08초,0.25
12시 39분 09초,1.0
12시 39분 10초,1.0
12시 39분 11초,1.0100000000000051
12시 39분 12초,1.0100000000000051
12시 39분 13초,0.0
12시 39분 14초,1.2800000000000011
12시 39분 15초,0.0
12시 39분 16초,0.0
12시 39분 17초,0.25
12시 39분 18초,23.989999999999995
12시 39분 19초,30.0
12시 39분 20초,25.379999999999995
12시 39분 21초,26.819999999999993
12시 39분 22초,17.709999999999994
12시 39분 23초,0.25
12시 39분 24초,1.0
12시 39분 25초,0.0
12시 39분 26초,0.7399999999999949
12시 39분 27초,0.25
12시 39분 28초,0.25
12시 39분 29초,0.0
12시 39분 30초,0.25
12시 39분 31초,1.75
12시 39분 32초,0.0
12시 39분 43초,1.25
12시 39분 44초,3.519999999999996
12시 39분 45초,6.019999999999996
12시 39분 46초,0.25
12시 39분 47초,0.25
12시 39분 48초,0.75
