Time,cpu usage
21시 32분 34초,99.5
21시 32분 35초,100.0
21시 32분 36초,99.75
21시 32분 37초,99.25
21시 32분 38초,100.0
21시 32분 39초,99.75
21시 32분 40초,99.5
21시 32분 41초,100.0
21시 32분 42초,99.75
21시 32분 43초,100.0
21시 32분 44초,98.5
21시 32분 45초,100.0
21시 32분 46초,100.0
21시 32분 47초,99.5
21시 32분 48초,100.0
21시 32분 49초,100.0
21시 32분 50초,99.75
21시 32분 51초,99.75
21시 32분 52초,100.0
21시 32분 53초,99.75
21시 32분 54초,99.75
21시 32분 55초,100.0
21시 32분 56초,100.0
21시 32분 57초,99.75
21시 32분 58초,100.0
21시 32분 59초,100.0
21시 33분 00초,99.75
21시 33분 01초,100.0
21시 33분 02초,99.75
21시 33분 03초,100.0
21시 33분 04초,100.0
21시 33분 05초,100.0
21시 33분 06초,99.25
21시 27분 29초,99.75
21시 27분 30초,100.0
21시 27분 31초,100.0
21시 27분 32초,99.0
21시 27분 33초,99.0
21시 27분 34초,99.75
21시 27분 35초,100.0
21시 27분 36초,99.75
21시 27분 37초,99.75
21시 27분 38초,100.0
21시 27분 39초,99.75
21시 27분 40초,100.0
21시 27분 41초,99.75
21시 27분 42초,100.0
21시 27분 43초,99.0
21시 27분 44초,99.75
21시 27분 45초,99.75
21시 27분 46초,99.75
21시 27분 47초,99.5
21시 27분 48초,99.75
21시 27분 49초,99.25
21시 27분 50초,99.5
21시 27분 51초,100.0
21시 27분 52초,99.25
21시 27분 53초,99.5
21시 27분 54초,99.75
21시 27분 55초,99.5
21시 27분 56초,100.0
21시 27분 57초,99.75
21시 27분 58초,99.75
21시 27분 59초,99.75
21시 28분 00초,99.75
21시 28분 01초,99.75
21시 28분 02초,100.0
21시 28분 03초,99.75
21시 28분 04초,99.75
21시 28분 05초,99.75
21시 28분 06초,99.75
21시 28분 07초,100.0
21시 28분 08초,99.75
21시 28분 09초,99.75
21시 28분 10초,99.25
21시 28분 11초,99.5
21시 28분 12초,100.0
21시 28분 13초,100.0
21시 28분 14초,99.75
21시 28분 15초,97.24
21시 28분 16초,99.75
21시 28분 17초,99.75
21시 28분 18초,99.5
21시 28분 19초,99.5
21시 28분 20초,100.0
21시 28분 21초,99.75
21시 28분 22초,99.75
21시 28분 23초,100.0
21시 28분 24초,99.75
21시 28분 25초,100.0
21시 28분 26초,100.0
21시 28분 27초,100.0
21시 28분 28초,100.0
21시 28분 34초,99.5
21시 28분 35초,100.0
21시 28분 36초,99.75
21시 28분 37초,99.5
21시 28분 38초,99.75
21시 28분 39초,99.5
21시 28분 40초,99.5
21시 28분 41초,100.0
21시 28분 42초,100.0
21시 28분 43초,99.75
21시 28분 44초,99.5
21시 28분 45초,99.75
21시 28분 46초,99.5
21시 28분 47초,99.5
21시 28분 48초,99.75
21시 28분 49초,99.5
21시 28분 50초,99.75
21시 28분 51초,99.75
21시 28분 52초,99.0
21시 28분 53초,99.75
21시 28분 54초,99.25
21시 28분 55초,99.75
21시 28분 56초,100.0
21시 28분 57초,100.0
21시 28분 58초,99.25
21시 28분 59초,99.5
21시 29분 00초,99.75
21시 29분 01초,99.75
21시 29분 02초,99.75
21시 29분 03초,99.75
21시 29분 04초,100.0
21시 29분 05초,99.75
21시 29분 06초,100.0
21시 29분 07초,100.0
21시 29분 08초,99.5
21시 29분 09초,99.75
21시 29분 10초,99.25
21시 29분 11초,99.75
21시 29분 12초,99.5
21시 29분 13초,100.0
21시 29분 14초,99.75
21시 29분 15초,100.0
21시 29분 16초,99.5
21시 29분 17초,99.75
21시 29분 18초,100.0
21시 29분 19초,96.76
21시 29분 20초,99.49
21시 29분 21초,100.0
21시 29분 22초,97.49
21시 29분 23초,100.0
21시 29분 24초,100.0
21시 29분 25초,100.0
21시 29분 26초,100.0
21시 29분 27초,100.0
21시 29분 28초,99.75
21시 29분 29초,100.0
21시 29분 30초,99.75
21시 29분 31초,100.0
21시 29분 32초,99.0
21시 29분 33초,99.75
21시 30분 58초,99.75
21시 30분 59초,100.0
21시 31분 00초,99.25
21시 31분 01초,99.75
21시 31분 02초,99.75
21시 31분 03초,99.0
21시 31분 04초,99.5
21시 31분 05초,99.75
21시 31분 06초,99.75
21시 31분 07초,99.5
21시 31분 08초,99.75
21시 31분 09초,99.75
21시 31분 10초,99.5
21시 31분 11초,99.75
21시 31분 12초,100.0
